County	Contest	Candidate	CountyVotes	CountyPercent	StateVotes	StatePercent 
Allen	President / Vice President	Candidate	CountyVotes	County	StateVotes	State 
Allen	President / Vice President	i-Jill Stein	118	2	22698	2 
Allen	President / Vice President	D-Hillary Rodham Clinton	1398	26	414788	36 
Allen	President / Vice President	L-Gary Johnson	223	4	53648	5 
Allen	President / Vice President	R-Donald J. Trump	3575	67	656009	57 
Allen	United States Senate	Candidate	CountyVotes	County	StateVotes	State 
Allen	United States Senate	D-Patrick Wiesner	1162	22	368672	32 
Allen	United States Senate	L-Robert D. Garrard	312	6	63428	6 
Allen	United States Senate	R-Jerry Moran	3823	72	716661	62 
Allen	United States House of Representatives 002	Candidate	CountyVotes	County	StateVotes	State 
Allen	United States House of Representatives 002	D-Britani Potter	1209	23	94561	33 
Allen	United States House of Representatives 002	L-James Houston Bales	289	6	18700	6 
Allen	United States House of Representatives 002	R-Lynn Jenkins	3789	72	177851	61 
Allen	Kansas Senate 012	Candidate	CountyVotes	County	StateVotes	State 
Allen	Kansas Senate 012	D-Christopher B. Johnston	1047	24	6750	27 
Allen	Kansas Senate 012	R-Caryn Tyson	3305	76	18576	73 
Allen	Kansas House of Representatives 009	Candidate	CountyVotes	County	StateVotes	State 
Allen	Kansas House of Representatives 009	L-Patrick McMurray	905	20	1948	24 
Allen	Kansas House of Representatives 009	R-Kent L. Thompson	3718	80	6185	76 
Allen	Supreme Court Justice- 01	Candidate	CountyVotes	County	StateVotes	State 
Allen	Supreme Court Justice- 01	Carol A. Beier -  YES	2465	49	603487	56 
Allen	Supreme Court Justice- 01	Carol A. Beier - NO	2614	52	471746	44 
Allen	Supreme Court Justice- 02	Candidate	CountyVotes	County	StateVotes	State 
Allen	Supreme Court Justice- 02	Dan Biles -  YES	2433	48	593419	56 
Allen	Supreme Court Justice- 02	Dan Biles - NO	2630	52	475709	45 
Allen	Supreme Court Justice- 03	Candidate	CountyVotes	County	StateVotes	State 
Allen	Supreme Court Justice- 03	Lawton R. Nuss -  YES	2416	48	589756	55 
