"County","Beier.Yes","Beier.No","Beier.PercentYes","Biles.Yes","Biles.No","Biles.PercentYes","Nuss.Yes","Nuss.No","Nuss.PercentYes","Luckert.Yes","Luckert.No","Luckert.PercentYes","Stegall.Yes","Stegall.No","Stegall.PercentYes"
"Allen",2465,2614,48.5,2433,2630,48.1,2416,2656,47.6,2454,2602,48.5,3222,1856,63.5
"Anderson",1205,1803,40.1,1150,1825,38.7,1153,1825,38.7,1154,1811,38.9,1894,1113,63
"Atchison",3063,2927,51.1,2957,3007,49.6,2969,2982,49.9,3051,2914,51.1,3931,2025,66
"Barber",881,1208,42.2,865,1196,42,857,1198,41.7,867,1184,42.3,1376,698,66.3
"Barton",4978,4627,51.8,4940,4674,51.4,4951,4649,51.6,4961,4624,51.8,6732,2883,70
"Bourbon",2451,3185,43.5,2402,3188,43,2458,3156,43.8,2423,3172,43.3,3813,1716,69
"Brown",2117,1664,56,2104,1661,55.9,2096,1677,55.6,2119,1640,56.4,2736,1025,72.7
"Butler",12705,13680,48.2,12711,13649,48.2,12614,13744,47.9,12669,13677,48.1,18476,7849,70.2
"Chase",689,620,52.6,689,618,52.7,678,624,52.1,684,622,52.4,913,388,70.2
"Chautauqua",681,1030,39.8,679,1021,39.9,676,1029,39.6,684,1018,40.2,1220,495,71.1
"Cherokee",3565,4282,45.4,3491,4302,44.8,3450,4344,44.3,3450,4318,44.4,4763,3018,61.2
"Cheyenne",452,801,36.1,443,802,35.6,442,806,35.4,552,796,40.9,878,385,69.5
"Clark",410,515,44.3,405,512,44.2,408,504,44.7,410,509,44.6,636,289,68.8
"Clay",1835,1739,51.3,1789,1751,50.5,1812,1724,51.2,1832,1699,51.9,2662,904,74.6
"Cloud",1943,1676,53.7,1897,1704,52.7,1934,1671,53.6,1937,1673,53.7,2636,952,73.5
"Coffey",1829,1964,48.2,1799,1992,47.5,1785,2001,47.1,1794,1982,47.5,2424,1359,64.1
"Comanche",401,418,49,396,411,49.1,395,412,48.9,394,416,48.6,572,240,70.4
"Cowley",6086,5379,53.1,6138,5524,52.6,6105,5501,52.6,6218,5465,53.2,8290,3388,71
"Crawford",7580,5930,56.1,7427,5969,55.4,7362,6010,55.1,7426,5928,55.6,9297,4085,69.5
"Decatur",597,743,44.6,596,734,44.8,587,742,44.2,593,785,43,897,434,67.4
"Dickinson",4162,3574,53.8,4050,3635,52.7,4066,3633,52.8,4067,3626,52.9,5447,2230,71
"Doniphan",1417,1540,47.9,1362,1566,46.5,1371,1559,46.8,1380,1543,47.2,2006,928,68.4
"Douglas",33275,12276,73,32665,12612,72.1,32357,12909,71.5,32748,12415,72.5,32730,12407,72.5
"Edwards",508,741,40.7,506,736,40.7,502,751,40.1,508,745,40.5,886,375,70.3
"Elk",535,653,45,547,636,46.2,548,626,46.7,544,636,46.1,824,363,69.4
"Ellis",5655,5416,51.1,5578,5424,50.7,5616,5381,51.1,5623,5358,51.2,7782,3245,70.6
"Ellsworth",1420,1035,57.8,1411,1037,57.6,1425,1023,58.2,1416,1033,57.8,1796,662,73.1
"Finney",4825,4320,52.8,4684,4387,51.6,4670,4390,51.5,4747,4318,52.4,6337,2711,70
"Ford",3037,3931,43.6,2961,3995,42.6,3017,3981,43.1,3014,3963,43.2,4659,2342,66.5
"Franklin",4741,5234,47.5,4633,5188,47.2,4676,5243,47.1,4741,5191,47.7,6446,3514,64.7
"Geary",4054,2531,61.6,3981,2568,60.8,3961,2575,60.6,4023,2507,61.6,4553,1982,69.7
"Gove",500,740,40.3,489,739,39.8,487,740,39.7,484,724,40.1,908,329,73.4
"Graham",597,584,50.6,597,569,51.2,600,568,51.4,608,552,52.4,799,374,68.1
"Grant",1161,982,54.2,1100,1008,52.2,1101,1006,52.3,1112,995,52.8,1534,594,72.1
"Gray",577,1356,29.8,559,1364,29.1,545,1375,28.4,557,1362,29,1158,761,60.3
"Greeley",304,274,52.6,288,285,50.3,292,283,50.8,298,276,51.9,407,173,70.2
"Greenwood",1293,1401,48,1298,1379,48.5,1279,1400,47.7,1286,1386,48.1,1856,826,69.2
"Hamilton",397,385,50.8,395,376,51.2,392,381,50.7,391,382,50.6,543,235,69.8
"Harper",1130,1216,48.2,1152,1184,49.3,1112,1211,47.9,1128,1187,48.7,1557,775,66.8
"Harvey",8193,6023,57.6,8112,6020,57.4,8113,6033,57.4,8161,5968,57.8,10966,3191,77.5
"Haskell",557,674,45.2,537,685,43.9,550,667,45.2,557,656,45.9,873,353,71.2
"Hodgeman",319,583,35.4,335,630,34.7,324,640,33.6,327,638,33.9,639,325,66.3
"Jackson",3218,2244,58.9,3157,2259,58.3,3186,2239,58.7,3203,2207,59.2,3753,1634,69.7
"Jefferson",4432,3313,57.2,4358,3323,56.7,4394,3307,57.1,4429,3258,57.6,5424,2355,69.7
"Jewell",613,756,44.8,602,760,44.2,602,760,44.2,614,747,45.1,1032,338,75.3
"Johnson",152253,104447,59.3,150836,105072,58.9,148129,106845,58.1,150749,104233,59.1,180010,73897,70.9
"Kearny",581,668,46.5,561,683,45.1,558,685,44.9,563,677,45.4,852,387,68.8
"Kingman",1353,1888,41.7,1361,1851,42.4,1378,1841,42.8,1372,1848,42.6,2258,966,70
"Kiowa",407,578,41.3,395,586,40.3,391,592,39.8,402,579,41,719,265,73.1
"Labette",3556,3909,47.6,3477,3961,46.7,3457,3966,46.6,3546,3874,47.8,5123,2332,68.7
"Lane",443,365,54.8,439,360,54.9,427,370,53.6,414,377,52.3,580,217,72.8
"Leavenworth",14327,13919,50.7,13978,14091,49.8,13808,14210,49.3,14123,13878,50.4,18449,9588,65.8
"Lincoln",688,700,49.6,682,706,49.1,696,690,50.2,681,703,49.2,993,394,71.6
"Linn",1527,2437,38.5,1515,2437,38.3,1474,2457,37.5,1503,2421,38.3,2521,1425,63.9
"Logan",431,830,34.2,426,830,33.9,430,816,34.5,435,815,34.8,906,349,72.2
"Lyon",7007,4239,62.3,6861,4292,61.5,6818,4324,61.2,6871,4260,61.7,7868,3265,70.7
"Marion",2878,2440,54.1,2813,2479,53.2,2861,2442,54,2833,2462,53.5,3988,1328,75
"Marshall",2484,1681,59.6,2426,1692,58.9,2438,1674,59.3,2446,1653,59.7,3166,979,76.4
"McPherson",6596,5481,54.6,6588,5440,54.8,6555,5497,54.4,6536,5509,54.3,9008,3045,74.7
"Meade",687,914,42.9,673,924,42.1,677,919,42.4,681,909,42.8,1165,419,73.5
"Miami",6703,7073,48.7,6488,7142,47.6,6403,7156,47.2,6496,7039,48,8782,4747,64.9
"Mitchell",1572,1150,57.8,1531,1185,56.4,1552,1147,57.5,1563,1143,57.8,2139,580,78.7
"Montgomery",4500,6502,40.9,4390,6534,40.2,4323,6585,39.6,4388,6464,40.4,7386,3557,67.5
"Morris",1297,1144,53.1,1286,1150,52.8,1294,1147,53,1300,1135,53.4,1641,785,67.6
"Morton",575,490,54,576,482,54.4,585,477,55.1,585,465,55.7,719,326,68.8
"Nemaha",2098,2563,45,2015,2582,43.8,2043,2545,44.5,2116,2516,45.7,3476,1147,75.2
"Neosho",2666,3176,45.6,2612,3182,45.1,2588,3199,44.7,2631,3154,45.5,3777,1974,65.7
"Ness",535,796,40.2,568,799,41.6,607,779,43.8,529,783,40.3,899,427,67.8
"Norton",982,1088,47.4,956,1095,46.6,961,1090,46.9,972,1084,47.3,1511,553,73.2
"Osage",3759,2934,56.2,3682,2954,55.5,3688,2949,55.6,3746,2887,56.5,4387,2147,67.1
"Osborne",826,845,49.4,810,846,48.9,810,843,49,807,838,49.1,1263,400,75.9
"Ottawa",1274,1457,46.6,1252,1461,46.1,1273,1427,47.1,1240,1465,45.8,1957,769,71.8
"Pawnee",1260,1292,49.4,1250,1279,49.4,1249,1278,49.4,1240,1281,49.2,1844,701,72.5
"Phillips",1183,1234,48.9,1179,1217,49.2,1166,1221,48.8,1177,1211,49.3,1720,675,71.8
"Pottawatomie",4922,5108,49.1,4822,5105,48.6,4873,5070,49,4920,5024,49.5,7495,2483,75.1
"Pratt",1195,2578,31.7,1164,2589,31,1160,2583,31,1178,2571,31.4,2357,1394,62.8
"Rawlins",575,752,43.3,545,759,41.8,552,754,42.3,560,753,42.7,951,362,72.4
"Reno",12816,10064,56,12727,10040,55.9,12763,9997,56.1,12784,9978,56.2,17152,5599,75.4
"Republic",1089,1263,46.3,1050,1285,45,1073,1264,45.9,1076,1256,46.1,1601,737,68.5
"Rice",2197,1203,64.6,2102,1353,60.8,1633,1401,53.8,1629,1395,53.9,2062,994,67.5
"Riley",12660,6447,66.3,12493,6536,65.7,12440,6515,65.6,12493,6401,66.1,14241,4594,75.6
"Rooks",963,1225,44,917,1252,42.3,934,1235,43.1,921,1242,42.6,1521,661,69.7
"Rush",727,682,51.6,707,685,50.8,736,671,52.3,723,671,51.9,946,451,67.7
"Russell",1617,1368,54.2,1595,1362,53.9,1616,1339,54.7,1587,1365,53.8,2043,927,68.8
"Saline",12523,7874,61.4,12325,7966,60.7,12721,7656,62.4,12446,7826,61.4,14371,5888,70.9
"Scott",1124,934,54.6,1139,908,55.6,1135,918,55.3,1123,919,55,1505,536,73.7
"Sedgwick",91717,76627,54.5,90332,76980,54,90089,76983,53.9,91074,75882,54.5,121409,45262,72.8
"Seward",2106,1964,51.7,2017,2000,50.2,2055,1962,51.2,2048,1950,51.2,2760,1238,69
"Shawnee",45963,26381,63.5,44791,26906,62.5,44979,26756,62.7,45731,25930,63.8,50584,21547,70.1
"Sheridan",516,717,41.8,492,735,40.1,484,728,39.9,502,717,41.2,862,353,70.9
"Sherman",1049,1295,44.8,1021,1298,44,1009,1306,43.6,1063,1261,45.7,1585,737,68.3
"Smith",898,933,49,895,920,49.3,878,937,48.4,869,940,48,1357,461,74.6
"Stafford",904,890,50.4,895,897,49.9,884,903,49.5,880,906,49.3,1294,489,72.6
"Stanton",335,332,50.2,329,334,49.6,326,336,49.2,328,332,49.7,458,207,68.9
"Stevens",816,878,48.2,795,888,47.2,797,880,47.5,791,873,47.5,1267,410,75.6
"Sumner",4850,4394,52.5,4824,4415,52.2,4836,4390,52.4,4843,4387,52.5,6509,2719,70.5
"Thomas",1502,1855,44.7,1496,1857,44.6,1511,1838,45.1,1537,1812,45.9,2335,1014,69.7
"Trego",625,753,45.4,623,755,45.2,609,767,44.3,611,761,44.5,890,486,64.7
"Wabaunsee",1730,1528,53.1,1712,1537,52.7,1717,1530,52.9,1751,1502,53.8,2296,958,70.6
"Wallace",228,499,31.4,228,491,31.7,228,491,31.7,227,491,31.6,526,205,72
"Washington",1259,1241,50.4,1214,1243,49.4,1217,1236,49.6,1219,1235,49.7,1849,625,74.7
"Wichita",298,592,33.5,296,581,33.8,297,580,33.9,289,588,33,621,259,70.6
"Wilson",1406,1923,42.2,1375,1944,41.4,1385,1929,41.8,1410,1900,42.6,2075,1238,62.6
"Woodson",531,793,40.1,522,795,39.6,530,786,40.3,543,770,41.4,776,529,59.5
"Wyandotte",27045,13826,66.2,25682,14446,64,25316,14963,62.9,26149,13926,65.3,28457,11857,70.6
